1,Hilton Basel,Basel,Luxury,2024-04-20,2024-04-22,FALSE
2,Marriott Zurich,Zurich,Upscale,2024-04-14,2024-04-21,FALSE
3,Hyatt Regency Basel,Basel,Upper Upscale,2024-04-02,2024-04-20,FALSE
4,Radisson Blu Lucerne,Lucerne,Midscale,2024-04-05,2024-04-24,FALSE
5,Best Western Bern,Bern,Upper Midscale,2024-04-01,2024-04-23,FALSE
6,InterContinental Geneva,Geneva,Luxury,2024-04-23,2024-04-28,FALSE
7,Sheraton Zurich,Zurich,Upper Upscale,2024-04-02,2024-04-27,FALSE
8,Holiday Inn Basel,Basel,Upper Midscale,2024-04-09,2024-04-24,FALSE
9,Courtyard Zurich,Zurich,Upscale,2024-04-03,2024-04-13,FALSE
10,Comfort Inn Bern,Bern,Midscale,2024-04-04,2024-04-16,FALSE
11,The Ritz Paris,Paris,Luxury,2025-05-10,2025-05-15,FALSE
12,Hotel de Russie,Rome,Luxury,2025-05-22,2025-05-29,FALSE
13,Mandarin Oriental Ritz,Madrid,Luxury,2025-06-01,2025-06-07,FALSE
14,Hotel Adlon Kempinski,Berlin,Luxury,2025-06-11,2025-06-18,FALSE
15,Waldorf Astoria Amsterdam,Amsterdam,Upper Upscale,2025-05-14,2025-05-19,FALSE
16,Four Seasons Hotel Ritz Lisbon,Lisbon,Luxury,2025-05-02,2025-05-09,FALSE
17,The Shelbourne,Dublin,Luxury,2025-06-20,2025-06-25,FALSE
18,Hotel Sacher Wien,Vienna,Luxury,2025-05-25,2025-05-30,FALSE
19,Nimb Hotel,Copenhagen,Upscale,2025-06-05,2025-06-10,FALSE
20,Grand Hotel,Stockholm,Luxury,2025-06-12,2025-06-17,FALSE
21,Four Seasons Hotel Prague,Prague,Upper Upscale,2025-05-18,2025-05-23,FALSE
22,Hotel Kämp,Helsinki,Upscale,2025-05-08,2025-05-12,FALSE
23,Hotel Amigo,Brussels,Luxury,2025-06-03,2025-06-08,FALSE
24,Raffles Europejski,Warsaw,Luxury,2025-06-22,2025-06-28,FALSE
25,Four Seasons Gresham Palace,Budapest,Upper Upscale,2025-05-20,2025-05-26,FALSE
26,Hotel Grande Bretagne,Athens,Luxury,2025-06-15,2025-06-22,FALSE
27,W Barcelona,Barcelona,Upscale,2025-05-05,2025-05-11,FALSE
28,Bayerischer Hof,Munich,Luxury,2025-06-08,2025-06-13,FALSE
29,Le Negresco,Nice,Upper Upscale,2025-05-28,2025-06-02,FALSE
30,The Yeatman Hotel,Porto,Upscale,2025-06-14,2025-06-19,FALSE
31,The Gritti Palace,Venice,Luxury,2025-05-16,2025-05-21,FALSE
32,Hotel Alfonso XIII,Seville,Luxury,2025-06-09,2025-06-16,FALSE
33,Sofitel Legend The Grand,Amsterdam,Upper Upscale,2025-06-01,2025-06-06,FALSE
34,The Westin Paris - Vendôme,Paris,Upscale,2025-05-13,2025-05-17,FALSE
35,NH Collection Roma Fori Imperiali,Rome,Upper Midscale,2025-06-24,2025-06-29,FALSE
36,Radisson Collection Royal Hotel,Copenhagen,Upper Upscale,2025-05-07,2025-05-13,FALSE
37,The Marker Hotel,Dublin,Upscale,2025-05-19,2025-05-24,FALSE
38,Pestana Palace Lisboa,Lisbon,Midscale,2025-06-26,2025-06-30,FALSE
39,Hilton Vienna Park,Vienna,Upper Midscale,2025-06-07,2025-06-11,FALSE
40,Motel One Berlin-Alexanderplatz,Berlin,Midscale,2025-05-23,2025-05-27,FALSE
